gene_id	ESN
ENSG00000000419	14803
ENSG00000000457	15709
ENSG00000000460	13495
ENSG00000000938	8680
ENSG00000000971	12156
ENSG00000001036	13652
ENSG00000001084	13879
ENSG00000001167	14631
ENSG00000001460	14593
ENSG00000001461	15175
ENSG00000001561	8997
ENSG00000001617	1148
ENSG00000001626	6307
ENSG00000001629	1593
ENSG00000001630	4158
ENSG00000001631	3160
ENSG00000002016	12837
ENSG00000002330	5406
ENSG00000002549	6048
ENSG00000002587	16739
ENSG00000002726	16391
ENSG00000002745	13970
ENSG00000002746	7366
ENSG00000002822	7616
ENSG00000002834	6603
ENSG00000002919	6886
ENSG00000002933	16137
ENSG00000003056	15197
ENSG00000003137	11048
ENSG00000003147	8708
ENSG00000003393	13016
ENSG00000003400	2018
ENSG00000003402	2412
ENSG00000003436	8490
ENSG00000003509	12966
ENSG00000003756	1046
ENSG00000003987	14724
ENSG00000003989	15727
ENSG00000004059	11651
ENSG00000004139	419
ENSG00000004142	486
ENSG00000004399	494
ENSG00000004455	657
ENSG00000004468	5495
ENSG00000004478	17061
ENSG00000004487	15681
ENSG00000004534	1257
ENSG00000004660	249
ENSG00000004700	9359
ENSG00000004766	2400
ENSG00000004776	3447
ENSG00000004777	3353
ENSG00000004779	2546
ENSG00000004799	16217
ENSG00000004809	5429
ENSG00000004838	1643
ENSG00000004846	9961
ENSG00000004864	15484
ENSG00000004866	3862
ENSG00000004897	1481
ENSG00000004939	4183
ENSG00000004948	4873
ENSG00000004975	10422
ENSG00000005001	9240
ENSG00000005007	9027
ENSG00000005020	17331
ENSG00000005059	14517
ENSG00000005073	14528
ENSG00000005075	14727
ENSG00000005100	12830
ENSG00000005102	5586
ENSG00000005108	16735
ENSG00000005156	6718
ENSG00000005175	10254
ENSG00000005187	7282
ENSG00000005189	5701
ENSG00000005194	12970
ENSG00000005206	6734
ENSG00000005238	14121
ENSG00000005243	5166
ENSG00000005249	1707
ENSG00000005339	13843
ENSG00000005379	13723
ENSG00000005381	15501
ENSG00000005421	10992
ENSG00000005436	9422
ENSG00000005448	6471
ENSG00000005469	1263
ENSG00000005471	1143
ENSG00000005483	10672
ENSG00000005486	2425
ENSG00000005513	7945
ENSG00000005700	5899
ENSG00000005801	5856
ENSG00000005810	11850
ENSG00000005812	13573
ENSG00000005844	14972
ENSG00000005882	6118
ENSG00000005884	6963
ENSG00000005961	5718
ENSG00000005981	14856
ENSG00000006007	12409
ENSG00000006015	13947
ENSG00000006016	13710
ENSG00000006025	4661
ENSG00000006042	10637
ENSG00000006047	7475
ENSG00000006059	11342
ENSG00000006062	13277
ENSG00000006071	11028
ENSG00000006116	14415
ENSG00000006118	3238
ENSG00000006125	3870
ENSG00000006128	14782
ENSG00000006194	16396
ENSG00000006210	12817
ENSG00000006282	4708
ENSG00000006283	3383
ENSG00000006327	14812
ENSG00000006377	14320
ENSG00000006432	2041
ENSG00000006451	15506
ENSG00000006453	13038
ENSG00000006459	11830
ENSG00000006468	12415
ENSG00000006530	9062
ENSG00000006534	9620
ENSG00000006555	14839
ENSG00000006576	9837
ENSG00000006606	2175
ENSG00000006607	3285
ENSG00000006611	11087
ENSG00000006625	12180
ENSG00000006634	9019
ENSG00000006638	11040
ENSG00000006652	6600
ENSG00000006659	1189
ENSG00000006695	13048
ENSG00000006704	5970
ENSG00000006712	3385
ENSG00000006715	16845
ENSG00000006740	9958
ENSG00000006744	11763
ENSG00000006747	10541
ENSG00000006788	11876
ENSG00000006831	9063
ENSG00000006837	3853
ENSG00000007001	9289
ENSG00000007038	9470
ENSG00000007062	5096
ENSG00000007080	14426
ENSG00000007129	1448
ENSG00000007168	12553
ENSG00000007171	6098
ENSG00000007174	10397
ENSG00000007202	613
ENSG00000007216	298
ENSG00000007237	12808
ENSG00000007255	3714
ENSG00000007264	16382
ENSG00000007306	1665
ENSG00000007312	2932
ENSG00000007314	2732
ENSG00000007341	2089
ENSG00000007372	2368
ENSG00000007376	6183
ENSG00000007402	2330
ENSG00000007516	15344
ENSG00000007520	15722
ENSG00000007541	6155
ENSG00000007545	17377
ENSG00000007866	10113
ENSG00000007908	12099
ENSG00000007923	12523
ENSG00000007933	4650
ENSG00000007944	15052
ENSG00000007968	10431
ENSG00000008083	14013
ENSG00000008118	9069
ENSG00000008128	824
ENSG00000008130	1116
ENSG00000008196	15334
ENSG00000008197	12100
ENSG00000008226	5590
ENSG00000008256	16411
ENSG00000008277	5663
ENSG00000008282	13411
ENSG00000008283	3143
ENSG00000008294	2252
ENSG00000008300	1398
ENSG00000008311	17172
ENSG00000008323	13862
ENSG00000008324	11661
ENSG00000008382	10770
ENSG00000008394	10619
ENSG00000008405	14624
ENSG00000008438	7250
ENSG00000008441	15407
ENSG00000008513	16271
ENSG00000008516	14285
ENSG00000008517	14368
ENSG00000008710	16072
ENSG00000008735	16071
ENSG00000008838	13382
ENSG00000008853	12862
ENSG00000008869	13619
ENSG00000008952	10444
ENSG00000008988	11173
ENSG00000009307	1785
ENSG00000009335	2518
ENSG00000009413	2866
ENSG00000009709	9300
ENSG00000009724	4551
ENSG00000009765	16865
ENSG00000009780	9004
ENSG00000009790	11658
ENSG00000009830	6836
ENSG00000009844	3728
ENSG00000009950	1744
ENSG00000009954	1037
ENSG00000010017	12620
ENSG00000010030	4519
ENSG00000010072	13273
ENSG00000010165	12783
ENSG00000010219	16412
ENSG00000010244	3587
ENSG00000010256	1479
ENSG00000010270	10048
ENSG00000010278	13794
ENSG00000010282	12694
ENSG00000010292	12793
ENSG00000010295	11565
ENSG00000010310	5605
ENSG00000010318	401
ENSG00000010319	480
ENSG00000010322	567
ENSG00000010327	808
ENSG00000010361	1304
ENSG00000010438	3210
ENSG00000010539	16121
ENSG00000010610	6311
ENSG00000010626	6834
ENSG00000010704	6868
ENSG00000010803	6440
ENSG00000010810	7078
ENSG00000010818	5428
ENSG00000010932	4926
ENSG00000011007	12366
ENSG00000011009	13384
ENSG00000011021	10285
ENSG00000011028	9999
ENSG00000011052	2700
ENSG00000011083	15634
ENSG00000011105	17243
ENSG00000011114	12122
ENSG00000011132	15022
ENSG00000011143	15488
ENSG00000011198	1034
ENSG00000011258	2408
ENSG00000011260	2143
ENSG00000011275	16709
ENSG00000011295	2942
ENSG00000011304	5517
ENSG00000011332	396
ENSG00000011347	5831
ENSG00000011376	12586
ENSG00000011405	11275
ENSG00000011422	5627
ENSG00000011426	13740
ENSG00000011451	15762
ENSG00000011454	3114
ENSG00000011465	15290
ENSG00000011478	6123
ENSG00000011485	7495
ENSG00000011523	12662
ENSG00000011566	16214
ENSG00000011590	3560
ENSG00000011600	3200
ENSG00000011638	5294
ENSG00000012048	4741
ENSG00000012061	3213
ENSG00000012124	9302
ENSG00000012171	1422
ENSG00000012223	734
ENSG00000012232	7499
ENSG00000012504	10029
ENSG00000012660	13858
ENSG00000012779	5703
ENSG00000012822	12109
ENSG00000012963	12196
ENSG00000012983	12343
ENSG00000013016	15938
ENSG00000013275	1236
ENSG00000013288	15310
ENSG00000013293	6784
ENSG00000013297	7123
ENSG00000013306	5556
ENSG00000013364	12074
ENSG00000013374	16839
ENSG00000013375	5538
ENSG00000013392	5733
ENSG00000013441	1221
ENSG00000013503	5890
ENSG00000013523	14530
ENSG00000013561	13524
ENSG00000013573	4331
ENSG00000013583	14001
ENSG00000013588	10318
ENSG00000013725	2215
ENSG00000013810	3625
ENSG00000014123	3119
ENSG00000014138	15161
ENSG00000014164	14647
ENSG00000014216	13118
ENSG00000014257	6853
ENSG00000014641	11612
ENSG00000014824	11099
ENSG00000014914	6355
ENSG00000014919	5816
ENSG00000015133	6657
ENSG00000015153	956
ENSG00000015413	8073
ENSG00000015475	9494
ENSG00000015479	9039
ENSG00000015520	845
ENSG00000015532	10855
ENSG00000015592	11778
ENSG00000015676	870
ENSG00000016082	12887
ENSG00000016391	14431
ENSG00000016402	15221
ENSG00000016490	9796
ENSG00000016602	8248
ENSG00000016864	2757
ENSG00000017260	146
ENSG00000017427	6915
ENSG00000017797	4562
ENSG00000018189	660
ENSG00000018236	14174
ENSG00000018280	2342
ENSG00000018408	6559
ENSG00000018510	12515
ENSG00000018625	4460
ENSG00000018699	14863
ENSG00000018869	15196
ENSG00000019102	12913
ENSG00000019144	5482
ENSG00000019169	13462
ENSG00000019186	13837
ENSG00000019485	15703
ENSG00000019505	15014
ENSG00000019549	708
ENSG00000019582	10813
ENSG00000019991	13658
ENSG00000019995	10618
ENSG00000020129	2351
ENSG00000020181	999
ENSG00000020256	9475
ENSG00000020426	3354
ENSG00000020577	15437
ENSG00000020633	9927
ENSG00000020922	11288
ENSG00000021300	938
ENSG00000021355	17195
ENSG00000021461	13777
ENSG00000021488	8535
ENSG00000021574	6819
ENSG00000021645	10311
ENSG00000021762	8924
ENSG00000021776	8610
ENSG00000021826	10433
ENSG00000021852	16684
ENSG00000022277	11505
ENSG00000022355	9676
ENSG00000022556	17157
ENSG00000022567	3281
ENSG00000022840	3972
ENSG00000022976	3809
ENSG00000023041	6743
ENSG00000023171	13070
ENSG00000023228	12075
ENSG00000023287	8776
ENSG00000023318	8428
ENSG00000023330	131
ENSG00000023445	5388
ENSG00000023516	6097
ENSG00000023572	2189
