gene_id	chrom	start	end	strand
ENSG00000227268	10	89621708	89622244	-1
ENSG00000224420	19	50193095	50193750	1
ENSG00000181143	19	8959608	9091814	-1
ENSG00000168904	15	99791567	99930934	1
ENSG00000068305	15	100017370	100256671	1
ENSG00000139842	13	113862552	113919399	1
ENSG00000183060	15	100255906	100273766	-1
ENSG00000002016	12	1021243	1100356	-1
ENSG00000185896	13	113951556	113977987	1
ENSG00000140470	15	100511794	100882210	-1
ENSG00000139835	13	113978544	114018446	-1
ENSG00000082805	12	1099675	1605090	1
ENSG00000154227	15	100940600	101085200	-1
ENSG00000140471	15	101099574	101143435	-1
ENSG00000183475	15	101142739	101191910	1
ENSG00000184254	15	101402129	101456831	1
ENSG00000105063	19	55741148	55770363	-1
ENSG00000154237	15	101459420	101610317	1
ENSG00000133265	19	55773599	55791749	-1
ENSG00000160469	19	55793440	55823901	1
ENSG00000180061	19	55824169	55845416	-1
ENSG00000133247	19	55851221	55859488	1
ENSG00000160471	19	55860674	55866182	-1
ENSG00000180043	19	55866276	55874620	-1
ENSG00000095752	19	55875757	55881831	-1
ENSG00000160472	19	55888204	55889612	1
ENSG00000108107	19	55896713	55914612	1
ENSG00000108106	19	55912652	55919145	-1
ENSG00000063241	19	55964352	55973710	-1
ENSG00000197483	19	55987699	55995854	1
ENSG00000090971	19	55996371	55998935	1
ENSG00000179954	19	55999864	56030445	1
ENSG00000187550	19	56041100	56048456	-1
ENSG00000231274	19	56052023	56056909	-1
ENSG00000218891	19	56088899	56092211	-1
ENSG00000179943	19	56102746	56113336	-1
ENSG00000171443	19	56111388	56114504	1
ENSG00000261221	19	56116771	56128635	1
ENSG00000179922	19	56132108	56135941	-1
ENSG00000213015	19	56146382	56154835	1
ENSG00000171425	19	56146825	56156988	1
ENSG00000173581	19	56152428	56164527	1
ENSG00000063244	19	56165512	56186081	1
ENSG00000185792	19	56219798	56249768	-1
ENSG00000223638	19	56270380	56274541	1
ENSG00000179873	19	56296763	56348166	-1
ENSG00000160505	19	56347944	56393220	1
ENSG00000173572	19	56403065	56443702	-1
ENSG00000179709	19	56459198	56499995	1
ENSG00000171487	19	56511092	56573179	1
ENSG00000142409	19	56598732	56632649	-1
ENSG00000167685	19	56643968	56672262	1
ENSG00000197487	19	56687389	56697144	1
ENSG00000197213	19	56700949	56709289	-1
ENSG00000204532	19	56713670	56720821	1
ENSG00000131848	19	56732681	56879752	-1
ENSG00000018869	19	56887216	56904914	-1
ENSG00000198440	19	56909335	56947404	1
ENSG00000198046	19	56950694	56989434	-1
ENSG00000196263	19	57019212	57041590	1
ENSG00000196867	19	57050317	57068169	1
ENSG00000197016	19	57078890	57094261	1
ENSG00000197951	19	57106664	57135540	1
ENSG00000127903	19	57174635	57183123	-1
ENSG00000198300	19	57285930	57352097	-1
ENSG00000131864	19	57631411	57643155	1
ENSG00000141946	19	57645464	57656570	-1
ENSG00000258873	19	57664943	57678811	-1
ENSG00000083844	19	57702868	57734212	1
ENSG00000105146	19	57742377	57746915	1
ENSG00000204524	19	57751973	57774106	1
ENSG00000197714	19	57791419	57805436	1
ENSG00000178229	19	57831865	57842144	1
ENSG00000131845	19	57862645	57871266	1
ENSG00000152433	19	57874891	57890923	1
ENSG00000188785	19	57901218	57913917	1
ENSG00000186272	19	57922529	57933307	1
ENSG00000186230	19	57946697	57956853	1
ENSG00000178201	19	57966542	57967854	-1
ENSG00000197128	19	57980954	57988938	-1
ENSG00000105136	19	57999079	58006048	1
ENSG00000152439	19	58011309	58019508	1
ENSG00000121406	19	58038693	58052124	1
ENSG00000171649	19	58095508	58105253	1
ENSG00000183647	19	58111253	58119637	1
ENSG00000213762	19	58125628	58134721	1
ENSG00000121417	19	58141761	58154147	1
ENSG00000180532	19	58180303	58190519	1
ENSG00000204519	19	58193357	58201167	1
ENSG00000179909	19	58208735	58220579	-1
ENSG00000083814	19	58231120	58238995	-1
ENSG00000152443	19	58258164	58269527	1
ENSG00000083828	19	58280997	58291984	1
ENSG00000178935	19	58318450	58326281	-1
ENSG00000113643	5	167913450	167946304	1
ENSG00000081320	2	196998290	197041227	-1
ENSG00000138411	2	197063977	197458416	-1
ENSG00000240303	3	132276982	132379567	-1
ENSG00000120137	5	167975500	168006605	-1
